gene_id,gene_symbol,id_type
Ppp2r1a,Ppp2r1a,symbol
Vom1r-ps20,Vom1r-ps20,symbol
Vom1r16,Vom1r16,symbol
LOC100365363,LOC100365363,symbol
Vom1r17,Vom1r17,symbol
ENSRNOG00000067452,Vom1r16,ensembl
ENSRNOG00000062431,,ensembl
Vom1r19,Vom1r19,symbol
ENSRNOG00000068732,,ensembl
Vom1r20,Vom1r20,symbol
Vom1r21,Vom1r21,symbol
ENSRNOG00000068081,,ensembl
AABR07071891.2,AABR07071891.2,symbol
Zfp54,Zfp54,symbol
Zfp51,Zfp51,symbol
Zfp53,Zfp53,symbol
RNaseP_nuc,RNaseP_nuc,symbol
Zfp52,Zfp52,symbol
LOC102550851,LOC102550851,symbol
LOC108348215,LOC108348215,symbol
Zfp51l1,Zfp51l1,symbol
AABR07001902.1,AABR07001902.1,symbol
ENSRNOG00000066570,,ensembl
Vom1r22,Vom1r22,symbol
Vom1r23,Vom1r23,symbol
Zfp748-ps1,Zfp748-ps1,symbol
LOC102548728,LOC102548728,symbol
Vom2r-ps24,Vom2r-ps24,symbol
AABR07001923.1,AABR07001923.1,symbol
ENSRNOG00000068098,,ensembl
Znf845l-ps1,Znf845l-ps1,symbol
ENSRNOG00000068066,,ensembl
ENSRNOG00000065747,,ensembl
Zfp600,Zfp600,symbol
Vom2r13,Vom2r13,symbol
AABR07002025.1,AABR07002025.1,symbol
Rnu6-95,Rnu6-95,symbol
Vom2r80,Vom2r80,symbol
Rnu6-672,Rnu6-672,symbol
ENSRNOG00000066269,,ensembl
ENSRNOG00000066415,,ensembl
LOC102555644,LOC102555644,symbol
ENSRNOG00000065440,,ensembl
LOC102555377,LOC102555377,symbol
LOC682225,LOC682225,symbol
Zfp420-ps2,Zfp420-ps2,symbol
ENSRNOG00000063516,,ensembl
ENSRNOG00000069178,,ensembl
Zfp945,Zfp945,symbol
Vom2r80,Vom2r80,symbol
AABR07001942.1,AABR07001942.1,symbol
Zfp40,Zfp40,symbol
Vom2r15,Vom2r15,symbol
LOC682419,LOC682419,symbol
ENSRNOG00000064372,,ensembl
Vom2r16,Vom2r16,symbol
LOC120097717,LOC120097717,symbol
ENSRNOG00000064925,,ensembl
LOC100910798,LOC100910798,symbol
Vom2r19,Vom2r19,symbol
Vom2r19,Vom2r19,symbol
Vom2r18,Vom2r18,symbol
ENSRNOG00000064302,,ensembl
Mob1a-ps1,Mob1a-ps1,symbol
Actl9b,Actl9b,symbol
Vom2r23,Vom2r23,symbol
AABR07003610.1,AABR07003610.1,symbol
ENSRNOG00000067909,,ensembl
LOC100911044,LOC100911044,symbol
Vom2r25,Vom2r25,symbol
Vom1r24,Vom1r24,symbol
Vom1r25,Vom1r25,symbol
ENSRNOG00000064983,,ensembl
AABR07064392.1,AABR07064392.1,symbol
Vom1r27,Vom1r27,symbol
Vom1r4l,Vom1r4l,symbol
Vom1r27,Vom1r27,symbol
Vom1r110,Vom1r110,symbol
Vom1r28,Vom1r28,symbol
Vom1r29,Vom1r29,symbol
LOC100911184,LOC100911184,symbol
ENSRNOG00000066840,,ensembl
ENSRNOG00000064905,,ensembl
Zik1,Zik1,symbol
LOC120099261,LOC120099261,symbol
Vom2r-ps41,Vom2r-ps41,symbol
Vom2r26,Vom2r26,symbol
Lilrc2,Lilrc2,symbol
ENSRNOG00000069029,,ensembl
ENSRNOG00000064808,,ensembl
Lilrb2,Lilrb2,symbol
ENSRNOG00000064524,,ensembl
ENSRNOG00000062907,LOC134485274,ensembl
ENSRNOG00000070172,,ensembl
ENSRNOG00000066794,,ensembl
Lilrb3l,Lilrb3l,symbol
Lilrb1,Lilrb1,symbol
Pirb,Pirb,symbol
Rps9,Rps9,symbol
Tsen34,Tsen34,symbol
Mboat7,Mboat7,symbol
Tmc4,Tmc4,symbol
Leng1,Leng1,symbol
Cnot3,Cnot3,symbol
Mir3572,Mir3572,symbol
Prpf31,Prpf31,symbol
Tfpt,Tfpt,symbol
Ndufa3,Ndufa3,symbol
Oscar,Oscar,symbol
LOC100359972,LOC100359972,symbol
Tarm1,Tarm1,symbol
Vstm1,Vstm1,symbol
Cacng6,Cacng6,symbol
Cacng8,Cacng8,symbol
Mir935,Mir935,symbol
Cacng7,Cacng7,symbol
Prkcg,Prkcg,symbol
Myadm,Myadm,symbol
ENSRNOG00000063395,Rpl17-ps11,ensembl
Or6al1,Or6al1,symbol
LOC103689958,LOC103689958,symbol
Or6al2,Or6al2,symbol
Nlrp12,Nlrp12,symbol
Mir295-1,Mir295-1,symbol
Mir294,Mir294,symbol
Mir293,Mir293,symbol
Mir291b,Mir291b,symbol
Mir292,Mir292,symbol
Mir291a,Mir291a,symbol
Mir290,Mir290,symbol
LOC292543,LOC292543,symbol
ENSRNOG00000067618,,ensembl
Vom2r27,Vom2r27,symbol
Nlrp4a,Nlrp4a,symbol
Nlrp4f,Nlrp4f,symbol
Vom1r31,Vom1r31,symbol
Vom2r-ps45,Vom2r-ps45,symbol
Dcun1d3,Dcun1d3,symbol
Vom2r28,Vom2r28,symbol
Zfp418,Zfp418,symbol
LOC691135,LOC691135,symbol
ENSRNOG00000062946,,ensembl
Zfp772,Zfp772,symbol
ENSRNOG00000067564,,ensembl
ENSRNOG00000069401,,ensembl
Zfp773-ps1,Zfp773-ps1,symbol
ENSRNOG00000063598,,ensembl
Zfp954,Zfp954,symbol
LOC102547412,LOC102547412,symbol
Aurkc,Aurkc,symbol
Usp29,Usp29,symbol
Metazoa_SRP,Metazoa_SRP,symbol
Mir3099,Mir3099,symbol
LOC120100463,LOC120100463,symbol
Peg3,Peg3,symbol
Apeg3,Apeg3,symbol
Zim1,Zim1,symbol
Olfr1350,Olfr1350,symbol
Or10am5,Or10am5,symbol
Or6z3,Or6z3,symbol
Or6z7,Or6z7,symbol
Or6z5,Or6z5,symbol
Or6z3,Or6z3,symbol
LOC103691061,LOC103691061,symbol
Smim17,Smim17,symbol
